1,L_Frontal_lobe
2,L_Parietal_lobe
3,L_Occipital_lobe
4,L_Temporal_lobe
5,L_Cingulate_lobe
7,L_Subcortical
8,R_Subcortical
10,R_Cingulate_lobe
11,R_Temporal_lobe
12,R_Occipital_lobe
13,R_Parietal_lobe
14,R_Frontal_lobe
