,deg_0,cc_0,ne_0,deg_1,cc_1,ne_1,deg_2,cc_2,ne_2,deg_3,cc_3,ne_3,deg_4,cc_4,ne_4,deg_5,cc_5,ne_5,deg_6,cc_6,ne_6,deg_7,cc_7,ne_7,id
0,2096.1721559852695,0.9023853552398987,353.44110127638464,2400.3907322060218,0.920724023571723,274.4922846371191,3452.6520733459083,0.9501529700918754,790.5686457388069,0.0,0.0,0.0,1980.731215559113,0.8880381665797875,210.82399281183012,1253.1064764128773,0.75,478.7673780186261,2519.0385310367756,0.9789366911889623,573.511847747483,2566.6228497144093,0.9526575377110522,591.4564276762694,1.0
1,1720.4280530433496,0.9207519167637035,291.6789610864009,2376.523635788068,0.9545815315915775,259.9288023473397,4265.098724120108,1.0,930.8185498599815,3362.7735653478126,0.0,3362.7735653478935,2469.746335816083,0.9366822524840346,279.43662294473535,1110.039644320498,1.0,417.7792893440279,2183.2559216148525,0.9913294452069303,480.7800498957316,3847.8551738799597,1.0,811.7481222177388,1.0
2,1842.0230626166058,0.9060291445223225,338.98092333423233,2229.8452061122316,0.9426671386417396,257.7611831949107,2233.68079502247,0.9615324228580899,503.4140899834541,0.0,0.0,0.0,2242.6066172884516,0.9238619109373802,260.85368900063224,1335.6638490207768,1.0,538.8661784692194,1753.06007118743,1.0,395.73653764964615,1896.6700032192248,1.0,422.79818614621513,1.0
3,2223.272535775181,0.9164470583804721,425.2602130596939,2444.0141177924834,0.7781122963865247,269.0646448183263,4360.173264670773,0.961296569282382,946.2315036675973,0.0,0.0,0.0,2015.7126257956393,0.7896298101240861,232.35749094190984,1563.1400248690484,1.0,652.5307610655889,2142.9346406582063,0.9466575647635332,464.6081971066542,4213.618290941609,1.0,870.4852746023856,1.0
4,1949.9241405972193,0.9441958245367942,340.2451226826492,2308.642710048981,0.8757829040574254,239.16673811684407,3647.234721913741,0.9999999999999999,833.6444920865481,0.0,0.0,0.0,2005.1223336858952,0.8432838724129668,220.41186767345948,1219.8920551270526,1.0,466.6103866978558,1930.9027917637882,0.9890490175706983,449.83863566852204,3493.397462597569,1.0,762.5860825269667,1.0
5,2600.8622194566906,0.9286679121604273,415.27300433497385,2264.7150651319553,0.9106976467204612,267.39321133484844,5315.339403389729,1.0,1313.8271861738913,0.0,0.0,0.0,2241.880052529691,0.9068381730770744,270.6543603940432,2235.6911376458297,1.0,888.3131569120793,3218.719546151845,0.9661781831530812,697.6659309004908,5169.139429798177,1.0,1139.876267662382,1.0
6,2291.3708791483964,0.9684795417001572,410.91596013794697,2726.615662402383,0.9524148469186652,296.36619081929285,2960.022820240175,0.9688923681428523,678.400056203796,5054.125306471897,0.0,5054.125306471283,2651.075301983968,0.9582564460841313,309.7064615230193,1731.7265603235385,0.9999999999999999,669.6451404934156,2164.6205425195526,0.9886478186878378,488.6630816982033,3435.5818880323372,1.0,762.8551960619117,1.0
7,2384.6279465298458,0.9501400022202918,396.5998940316487,2221.634763915523,0.9063208152350839,228.79253214101772,4427.408882647001,1.0,951.2127306933353,0.0,0.0,0.0,2062.1144660945406,0.894309182294644,219.3008927743789,2196.4890625204685,1.0,784.4905897213202,2332.8294371581314,0.9700794727262123,515.343890650076,3518.172845808068,1.0,774.0975595795533,1.0
8,2413.6747054455877,0.9203627805354538,438.8725053351625,2261.686477869027,0.9069277186241158,263.4087425114684,4769.048878849055,1.0,1050.1442548787013,0.0,0.0,0.0,1905.063346268283,0.9094433511835579,222.66531716294296,1442.726231728927,1.0,515.5084659892862,2168.725125935689,0.9492712723018358,520.8857882660789,2516.4736421471844,0.974252486305888,529.7072419490675,2.0
9,3723.080481352481,0.9400215534680388,669.2196635354429,1369.938019158334,0.6632250221643068,152.7119703334676,2237.8784784927784,0.8378267744666509,482.129923258624,3212.348680640329,0.0,3212.3486806409487,1502.0561779885697,0.698931852683822,158.48663631340932,3382.338768580932,1.0,1424.874802699022,2808.152738537873,0.8194490558590548,633.230656839759,2280.3675069812653,0.8714304657875669,439.0101962318535,2.0
