,deg_0,cc_0,ne_0,deg_1,cc_1,ne_1,deg_2,cc_2,ne_2,deg_3,cc_3,ne_3,deg_4,cc_4,ne_4,deg_5,cc_5,ne_5,id
0,2096.3912411460765,0.9840284132115372,491.05365676676,1643.0876797348576,0.9115983989650291,176.84561590038967,2837.8380159010585,0.9186947963984518,533.6193209562807,2219.9184624721124,0.8667486419703598,234.72988972772714,2202.9585732872606,0.9030029862017295,274.9558141517825,2097.084535748404,0.9038081406166302,402.8876387793711,1.0
1,1577.6276077389102,0.9823314830826932,361.26950943501265,1924.8482975814568,0.9287478445995416,266.98802965560697,3629.064584989645,1.0,655.528394481369,2120.132773561236,0.9048634375361901,206.67024678004842,2620.88105515424,0.9570322592884246,326.8449445124531,3342.590932442323,0.9665484502213825,591.7829245776577,1.0
2,1514.419813801912,1.0,360.61001208403786,1987.4683319155988,0.90827619551517,293.7979397281999,1899.8918172745766,0.9366565582161689,351.017671472345,2125.8470092860175,0.9114842656853416,216.03757216361817,2139.6781384234846,0.9326876720405342,299.743339854085,1585.9666878996263,0.9130241683738548,306.9436434197399,1.0
3,1419.5271983056084,1.0,337.4805756341789,2237.298723444924,0.82369344892606,321.317363877288,3733.586385786313,0.8502655813969682,667.1753805463122,2078.7503271559503,0.6907751618103727,216.17778381938695,1980.224006448917,0.8602002259564153,260.69648961087495,3745.6424638728568,0.8482640828336249,669.8246097887081,1.0
4,1634.7680048581376,0.9760027529675548,374.19743057536175,1944.504649685019,0.8575377997129312,278.44802692920064,3131.4350505992284,0.9625721732905095,581.3253697832793,1996.2068687710744,0.8250633223220083,198.7181894506892,1865.605749226581,0.8780874495402359,240.92805208863257,3097.771522624219,0.9546186107754002,593.3229551130039,1.0
5,2599.0087699827877,1.0,570.5918379950026,2805.224560053879,0.9242732814381671,380.8265483659158,4632.753865692429,0.9686368867319874,932.4900396786521,2205.3161443314584,0.8395824215178083,232.69674078769526,2117.6060828664667,0.9286290920949251,294.8289541612216,4303.374727107239,0.8730157099806528,819.4183627396673,1.0
6,1703.7103342055257,1.0,392.36436182227004,2522.763018681604,0.9550598472097485,375.28119218724964,2552.276238564064,0.9652376968962997,487.3858681317016,2554.5877269670505,0.9269725496244631,253.85306969647914,2445.2100682473083,0.969682359981375,315.6483529868896,2939.232884077731,0.9884664874447778,564.2788390097543,1.0
7,1825.5451648249102,0.9865803607192958,423.2078434663391,2554.273137566859,0.9431928119118043,337.41792668566916,3780.857092826,1.0,662.266539267793,1965.3907186535405,0.8708064122322674,191.51815217075568,1826.728403975673,0.8842587963208822,231.32226390461193,2990.9089869819823,0.9129430503512955,571.1950867941209,1.0
8,2102.5111394453747,0.9370765299445711,487.18336824223104,1971.3235512376764,0.8948499031301043,282.1326348573026,4067.5449179954217,0.9673519931207271,743.4589749446088,2000.602445327474,0.8688870636585427,214.3246113663462,2032.808469716531,0.9421742128753903,262.1004449173829,2120.7964707110755,0.8141663666916998,372.96048153028,2.0
9,2368.7013562734633,0.8921119479949939,538.6797555745129,2829.7437062268355,0.6544160175726268,358.08750458397475,1983.635261379212,0.8673238628970408,351.6682452503688,1598.8613313271635,0.6262135072523758,153.03396290978452,1972.0153304863434,0.6691061683001877,265.2569681509053,1845.8898954370711,0.7941601941500906,296.57314099739784,2.0
10,2716.5766884943178,0.9533726524613034,643.019435612671,2192.351898832996,0.9217961822480296,296.8386342545483,3760.1297410491047,0.9674038321301304,759.1485486813036,1386.3783753995983,0.7934503361756744,135.2456508930549,1517.0175925533888,0.7759808670704542,186.15046552582487,1735.4712755394532,0.8260116834788427,324.2780318802586,2.0
11,2826.341790780898,0.9523917460071507,651.4684239546858,2289.0183278872246,0.864553942163774,291.5953108261386,1686.0559274616364,0.7835109504684082,275.78882677891005,1224.4817739753246,0.6862876463323465,119.77775011076011,1363.3075330256659,0.7696916031352607,149.87940146594144,2401.8755914907238,0.746483104177813,431.93275294874985,2.0
12,0.012679542995213856,0.0,0.0022278845452699133,2284.7758726442025,0.7426165820883914,229.5358174998836,3611.567267110401,0.786493213679398,607.2975397944781,810.4336251529538,0.44199814549855626,49.89689951346949,71.6990685114677,0.3083375192959948,4.7736135694697825,5318.1758216602475,0.9153168238008238,993.0213132850832,2.0
13,1957.2847305517275,0.9854738765767629,474.34402965120876,2475.1679196579876,0.8855541205216185,325.5399913328756,3493.2090987298047,0.9782325974754016,640.7232661636879,1087.4019024135137,0.6403585180456798,99.97357044616251,1309.2654867825054,0.7360054457460447,148.7088265531348,3273.4600234234576,0.9421679168773444,611.4276056624748,2.0
14,1561.0912439354665,1.0,350.9181539067975,2877.5068762156034,0.9566549023060464,399.63209908821784,3209.8775064295432,0.9744915131213558,612.3391401074214,2207.752728956388,0.8663333817980595,214.7618828754463,2322.1941552379194,0.8781957762739032,294.99130534063227,2851.1672221438175,0.9231441702082844,563.6514938950462,2.0
15,2405.204060545053,1.0,537.784348444124,2280.3763147289355,0.9342342309981171,333.9736385562101,4817.36567220408,0.9515426252658319,880.3904103755294,2285.6364263564597,0.7996579184471533,246.48965874858905,2236.391612283247,0.928206977065231,289.3528335315994,3767.1812143860548,0.9645004340644223,657.5989173428854,2.0
16,1590.7189091641776,0.9809503330299223,372.6440004765276,2608.295371521953,0.9288033039576552,367.9524131756982,3810.948148297232,0.9845382480325945,685.3521006987319,2340.044126922868,0.872346508103076,236.45090117013174,2253.735131760555,0.9390700747692964,294.08923102788754,3752.1200592060286,0.9600379727170458,645.6982719545073,2.0
17,2956.9866955202647,0.9999999999999999,717.7040014443237,2257.37422466951,0.934164490792514,304.58271086051707,5510.678364241111,0.9517348102871891,955.795822073024,2582.394647831796,0.8609126298319426,265.35742908578817,2505.3030953023563,0.885074214108909,273.9944858780249,3719.3990878535405,0.9289728944742546,671.209717571634,2.0
18,1936.3807978360987,0.9999999999999998,487.4076583021809,2674.949703821836,0.9202593705246098,393.80654240359615,3892.6626918507122,0.9626524802554297,751.8641853751582,2044.008611346427,0.8906965942535962,199.8308564633901,1938.7339061007403,0.9612140276873026,261.4730637156972,3204.7981200414492,0.8932244077889343,623.4454177605185,2.0
