,deg_1_lob,cc_1_lob,ne_1_lob,deg_2_lob,cc_2_lob,ne_2_lob,deg_3_lob,cc_3_lob,ne_3_lob,deg_4_lob,cc_4_lob,ne_4_lob,deg_5_lob,cc_5_lob,ne_5_lob,deg_7_lob,cc_7_lob,ne_7_lob,deg_8_lob,cc_8_lob,ne_8_lob,deg_10_lob,cc_10_lob,ne_10_lob,deg_11_lob,cc_11_lob,ne_11_lob,deg_12_lob,cc_12_lob,ne_12_lob,deg_13_lob,cc_13_lob,ne_13_lob,deg_14_lob,cc_14_lob,ne_14_lob,id
11,959.1846814161986,0.5688497727227483,143.17273229411856,818.9470182363017,0.0,204.7367545590958,1821.3412729768856,0.0,731.9189432696514,2556.1673797256626,0.9352364563418587,541.2460854129342,551.2309214473985,1.0,260.98674164864514,807.5865685151057,0.7990155725664974,195.96818889601823,629.0195267303735,0.7536405009521847,170.69900701404933,507.4903205682548,0.8944821756257387,245.0606788955841,2438.448225313025,0.9138839032759982,542.0071103510609,4711.086660927496,1.0,1938.3531751927005,607.0174303897729,0.0,151.754357597466,589.1602250028045,0.6031730805045363,77.7738243234709,2.0
12,544.3207679388569,0.2727272727272727,59.433286845554676,4566.173221062431,0.8,1216.7027117010116,2243.835529977959,0.5433144886145467,946.6912312037862,23.58483663278518,0.0,3.063423092292833,0.0,0.0,0.0,698.2062006808035,0.8571428571428571,143.94221063752494,119.14674413244542,0.7135654447904926,24.291919833852003,405.0497827457033,0.75,149.86068586175907,1121.148205076574,0.0,189.30597759181785,4368.049106460967,1.0,1805.7172046181763,7218.477651919509,1.0,2335.8281723138944,762.6647088577503,0.2746339199903197,89.67143292563428,2.0
13,956.795380063467,0.6436681679868922,142.75417679452826,2950.500916567476,0.9088043065191362,998.1972773278816,4003.203028103926,1.0,1560.7403121880618,1957.2543410886328,0.9765266362757892,456.6736257386934,381.95443898055174,1.0,183.95160586260232,291.69831027135814,0.5677965290889518,82.02889616243706,416.6644478754649,0.46768191214128735,111.66775379584944,616.3295028141755,0.887241847149473,291.2477262380168,2262.7750163218507,0.9311115616241923,517.3557514374694,4282.977979140916,1.0,1829.2989876339793,3783.243439377249,1.0,1304.3506998298574,602.9994330658842,0.7531643373418347,82.50814400486732,2.0
14,2623.7449163085857,0.9306470757998832,431.3826032148703,2889.409989049561,0.9999999999999998,1030.0351512967045,3553.966546157174,1.0,1404.223123118561,1677.2146321557245,0.9560543533778841,366.1882386265813,626.9555698887592,1.0,290.3750468457436,604.904481071828,0.8025304811420206,154.28067844348465,861.1652252732456,0.8659586692301592,206.3469201504363,644.4803686448305,1.0,307.19307713239954,2021.6689593008268,0.9400385161683218,457.43323644410907,3486.3432814724815,1.0,1355.7957914161836,3443.363332247119,1.0,1217.3785965711977,2850.655932978679,0.9370106314681915,464.6675620437299,2.0
15,1919.2456340906492,0.8587856775139248,338.34703673384485,3693.8058485279653,0.8,1088.0154302276285,4628.617021698708,0.9010750749002757,1947.2391965836935,2481.8554210037214,0.9790380309681385,571.3956485271789,335.18332612675016,1.0,158.1624804893842,1037.2742316437373,0.9556135965877914,281.78897975559624,1077.8189026164341,1.0,275.7378790516715,386.64214924039663,1.0,184.33060107467347,2312.9001968259245,0.9542062732308827,545.8717949069462,5024.398385750148,1.0,2079.273184251006,2954.8955113902134,0.6630842721036585,1012.5196691771911,1709.9600298057803,0.8838848628505666,304.71698606779114,2.0
16,3046.0039634919667,0.8998279460656158,529.33514998467,2327.8381849562725,1.0,766.0646221922192,5941.82440636547,0.9999999999999999,2447.861820914997,2088.338829107502,0.949306629469715,471.83905048554266,417.41403644457193,1.0,197.97384561060522,601.8776317882955,0.8945591769738532,139.78393489930838,671.3107290489189,1.0,163.98706038652887,380.2276605656313,1.0,182.3255083909438,2040.672716572018,0.9445482072078133,448.828291495995,5896.998796704734,1.0,2293.5824324087107,2805.1724756276208,1.0,927.4622230906637,2632.76954824713,0.9490504204598587,449.63430559469856,2.0
17,2930.025736592332,0.8560802154774687,498.01544889807553,7098.419916588699,1.0,2161.0205670999003,5524.369419947027,1.0,2128.1538767343654,2533.2137943868734,0.9102060998493609,546.1589512129317,534.1518368128313,1.0,251.7389466360321,942.1883278141024,0.9702778266244466,224.38341220942894,875.8498257751653,1.0,229.50918237549283,373.8389809663097,1.0,176.55232057015238,1706.9395906092168,0.9560387427760612,391.01286097175085,2089.0608560094447,0.5351996292733493,920.4175416092497,4676.40699290773,1.0,1444.2465279484272,2640.489741275873,0.8190860031217941,391.33455518391185,2.0
18,1632.1538528200845,0.9335861744747429,283.4464929637134,3133.801167779219,1.0,1073.7101471917017,4225.899334842334,1.0,1753.7898306549896,2264.4485502591065,0.9337619340322784,507.39725842308974,471.603749483867,1.0,223.94659421948023,999.1494273018665,1.0,244.75019417382768,807.1203055268659,1.0,198.78853773735372,518.0193961664296,1.0,239.18665358124082,2518.1094473790185,0.9000749727862978,563.0496132529638,3453.5159002444443,1.0,1320.599987738003,3341.321977575392,1.0,1110.154261123331,1718.1606665191396,0.949930685252538,310.7994772436236,2.0
19,1140.092403876866,0.8024278142070925,218.95308975981533,2300.233503075497,0.9125416094618805,808.9301483491729,1954.1929818334265,0.5352013236097257,879.7838343795513,1820.3086875053718,0.9536876734093583,414.8705735419031,524.9185880897555,1.0,252.4468842345445,1093.3274940661624,0.9999999999999999,291.9582657933893,1182.295846555509,1.0,299.3335200560315,390.01393892599276,1.0,187.31320640134157,1721.6772469818031,0.9580720473932397,411.0177824394958,2127.367232320812,0.8001429276001253,898.364460779675,2596.0549358889393,0.9274694929937729,874.9496866233269,1020.9391340860167,0.7390816307894611,177.14559745773292,2.0
20,2088.6574096594695,0.8097810798832856,336.04343947109186,2908.7197908572048,0.9455954697067532,1020.3266307385054,4257.975800808989,1.0,1707.1882596356932,2659.6566300543564,0.9041984911256274,550.8678975094373,439.13582088863564,1.0,202.4934131246723,1107.321032061223,0.9999999999999999,286.8052815010199,1077.5078010721031,0.9534289868592248,259.60947282585033,450.6894482559093,1.0,214.35335590484638,2124.670584271198,0.9422198849905459,479.7727258027159,4049.7056243801135,1.0,1664.5819854083525,3809.4350867669177,1.0,1258.9019175494082,2153.832534481637,0.9289976409029926,397.1977702595013,2.0
