deg_1_lob,cc_1_lob,ne_1_lob,deg_2_lob,cc_2_lob,ne_2_lob,deg_3_lob,cc_3_lob,ne_3_lob,deg_4_lob,cc_4_lob,ne_4_lob,deg_5_lob,cc_5_lob,ne_5_lob,deg_6_lob,cc_6_lob,ne_6_lob,deg_7_lob,cc_7_lob,ne_7_lob,deg_8_lob,cc_8_lob,ne_8_lob,deg_9_lob,cc_9_lob,ne_9_lob,deg_10_lob,cc_10_lob,ne_10_lob,deg_11_lob,cc_11_lob,ne_11_lob,deg_12_lob,cc_12_lob,ne_12_lob,id
65.27233709,0.701272327,10.78598202,16.36539533,0.499922247,3.796342303,81.297184,0.867124805,25.50216856,81.4705,0.879501601,31.86593148,40.55558667,0.779012186,12.13764805,37.77489667,0.944098666,9.772713383,55.71365851,0.770405287,9.430156511,10.77563111,0.425038762,1.849026851,59.082756,0.917139263,19.23433379,39.20085,0.864816274,14.70123225,65.88063333,0.730727345,18.69044469,32.81213667,0.680785829,9.351495858,2
69.51143273,0.781480911,11.2541163,14.18689778,0.352594166,3.107168104,95.934528,0.870739707,30.91216397,88.50573,1,37.37363231,44.72140333,0.727322329,13.81142666,42.45131,0.842335162,11.60792979,67.32861038,0.710364093,11.57539428,14.72793778,0.442905918,3.281673515,95.054384,0.833341326,31.51390614,64.22984,1,26.33635562,69.48881667,0.823299491,20.95103728,33.94489333,0.855688343,9.474118956,2
81.73853509,0.794661174,13.53896229,16.48848244,0.647725398,3.467789926,101.1106,0.713723394,33.20451744,73.74036,1,29.34434287,46.00876833,0.565641047,14.03515279,31.621655,0.916985558,8.949672594,80.81993818,0.786982957,13.97675648,18.04554956,0.859929434,3.874398488,86.72552,0.744828005,28.81548592,47.09433,1,18.37846625,71.8926,0.695852578,20.59346619,32.58728767,0.756333105,9.387580577,2
80.52378182,0.774194019,13.5572952,16.83326244,0.500430571,3.475391111,109.03968,0.718450948,34.26292293,58.042,0.871088777,22.87004681,45.9339,0.882358693,13.67276412,33.15807333,0.543375542,9.826433704,79.37262182,0.719937051,13.94007581,18.96768667,0.49262391,3.998645302,92.70512,0.741872625,29.1724098,46.86075,0.871573205,18.78148402,81.88030333,0.857673052,24.01352679,42.46048,0.781552941,11.57070481,2
75.28808727,0.736061399,12.44533583,18.38260933,0.687972562,4.083755164,118.2626,0.921042291,36.25256087,91.140165,1,35.60314824,53.91403,0.675401568,15.77536304,31.52138,0.860331346,8.721363103,76.56978364,0.760544096,13.27226465,16.95774667,0.675574773,3.715193644,82.153988,0.723976288,26.21274659,48.482605,1,19.45440574,76.64497,0.636866152,22.22169467,34.14000333,0.842849292,9.61410466,2
70.12989818,0.610282108,11.66118612,15.64751111,0.40046931,3.499722332,89.122476,0.858834366,27.54605043,94.281,0.873007317,37.95422601,43.03961367,0.936866115,12.82567443,41.96135667,0.765604981,11.07099063,61.23871964,0.736860743,10.18842428,17.89413191,0.501731882,3.805273324,88.70866,0.862367327,28.65970242,67.2545,0.875239384,26.99856608,78.059278,0.937337414,22.12586009,32.53756667,0.5894527,8.892433728,2
72.69420855,0.834466295,12.32936932,15.34158311,0.637428264,3.251321952,106.86904,0.9161291,34.16155558,80.336,0.879083853,31.92441416,52.091,0.632423572,15.15477791,30.56075667,0.903853818,8.176267364,75.30061336,0.841975291,12.62045344,18.15762889,0.489995076,3.721796646,92.436832,0.874900136,29.40377582,67.66898,1,26.37391922,69.1484,0.631260412,20.51849189,34.789455,0.807297532,9.502082847,2
84.09957818,0.748553873,13.973643,19.28477578,0.480398043,4.029139466,120.459088,1,37.47489307,79.13,0.856878836,32.23129816,48.5764,0.635284632,14.46968017,40.03696,0.927026166,10.29564737,79.23845527,0.748385209,13.19923453,18.99725333,0.4946775,4.119003509,91.05282,0.855657075,29.29856605,59.11272,1,23.07430951,71.9657,0.685539573,21.40968708,33.49369633,1,9.239225495,2
76.10952727,0.74422711,12.48630503,15.73894,0.442603408,3.548688421,119.14136,0.699379404,36.89716407,67.3019,0.861746719,26.62795574,52.2049,0.690478028,15.53387605,29.96094,0.763442733,8.47636237,62.31525636,0.734566395,10.64002274,16.72645812,0.807740252,3.543986031,100.960136,0.844286508,31.07150931,48.5385,0.866011046,18.47285828,64.7634,0.516123112,18.59129993,33.94498,0.822703254,9.380501621,2
70.42566227,0.741374771,11.58385142,14.14010067,0.59721949,3.035534478,95.186216,0.840733325,31.79182346,86.269125,1,33.70033752,45.54444333,0.6308187,14.11493779,35.17773,0.911676536,9.626424592,69.41085091,0.668084973,12.36873635,17.05759044,0.877327614,3.638675578,78.7508,0.561468582,26.51815664,47.800955,1,18.26406662,69.96728733,0.669616707,19.93192327,30.82885067,0.617896651,8.910993489,2
75.30154545,0.713148238,12.49982452,16.48222222,0.441882363,3.839648151,90.923588,0.699044191,27.87277058,75.93992,1,30.25157009,45.06273333,0.632669872,13.53881262,39.09173,0.930761704,10.1409886,66.8775712,0.829512416,11.41537035,17.63559333,0.503064458,3.573529477,64.208108,0.923735866,21.19961209,46.5705,0.847994539,18.17898269,79.28205,0.882353651,22.83567701,36.41511,0.853329074,9.680871946,2
79.97145818,0.796540492,13.4686412,18.67734911,0.564234602,4.034970164,94.804648,0.845835098,31.49084446,83.020935,1,34.03872542,50.04235667,0.683658615,15.33838962,41.78000667,1,11.33204619,67.44842909,0.722147285,11.19370201,17.97337778,0.44450926,3.673996633,90.542308,0.653273767,29.73647363,58.23465,1,23.78916351,70.25898,0.872729517,20.01525127,31.95356167,0.642638726,9.217615637,2
74.2477897,0.757818057,12.42648009,19.30947444,0.546904899,4.058153314,105.933388,0.84150137,34.70749637,97.72861,1,39.5187444,42.18897333,0.556725281,12.95360162,28.61844333,0.849560732,7.845051997,71.39209836,0.760879487,12.42196276,21.1441768,0.660899455,4.281801158,98.870744,0.859877449,32.19972579,56.312255,1,22.87636008,73.83166833,0.512161783,21.90835022,25.88204,0.767824459,7.490157038,2
81.3420666,0.800467327,13.38429,17.29676911,0.483199873,3.796038251,102.556256,0.837593785,33.15984926,104.308545,1,41.54453307,52.15077117,0.751061093,16.02421715,35.09066,0.925486291,9.464352437,72.43887836,0.787577388,12.5875489,17.47971591,0.64504613,3.31572189,91.657084,0.877947789,29.07700475,72.88,0.859878385,28.9667349,78.50605967,0.90017372,22.99464646,34.51115333,0.858275636,9.503101293,2
60.90454815,0.764191885,10.1390734,16.42718493,0.447006386,3.761976902,95.46528,0.867623192,29.95362791,74.2505,0.886614408,30.6782941,46.52951,0.711366238,14.20363496,35.54322667,0.938547552,9.414422704,60.24209055,0.77957057,10.39179487,16.66973778,0.49732105,3.710736087,87.58072,0.71341161,27.51224887,53.0665,0.868931824,19.79285331,66.827354,0.859361573,19.8824161,33.37300667,0.933635749,8.952778304,2
63.03227273,0.716670952,9.653711218,16.0744215,0.345468121,3.681279266,90.56548,0.915931333,28.28689504,85.916,0.849696891,34.37513034,46.55967,0.939091025,14.44393551,38.74150333,1,9.681446396,58.81965871,0.807138625,9.314227623,16.51263556,0.368404717,3.833321028,84.43624,0.728664065,26.41443684,60.78505,1,24.42706515,58.14496667,0.731316771,16.16973042,33.39163333,0.789249803,8.810665623,2
52.59376087,0.667255894,7.972233477,15.64595333,0.411750293,3.647917123,80.646604,0.865397839,25.74446618,73.3295,0.836651507,28.8979456,38.8507619,1,11.58619615,25.94429333,0.849930508,7.340589345,49.66525022,0.749909936,8.08001725,16.23261778,0.387623833,3.404641904,67.25266,0.735874742,21.53931309,51.355165,1,20.64190312,54.360568,0.842834322,16.15328118,28.15387667,0.787758843,7.970034677,2
